Enrichment FDR,nGenes,Pathway Genes,Fold Enrichment,Pathway,URL,Genes,
0.049390047,2,9,30.71666667,GO:0032714 negative regulation of interleukin-5 production , http://amigo.geneontology.org/amigo/term/GO:0032714, LEF1  FOXP3,
0.049390047,2,5,30.71666667,GO:0033153 T cell receptor V(D)J recombination , http://amigo.geneontology.org/amigo/term/GO:0033153, TCF7  LEF1,
0.049390047,2,5,30.71666667,GO:0045829 negative regulation of isotype switching , http://amigo.geneontology.org/amigo/term/GO:0045829, PARP3  FOXP3,
0.049390047,2,10,30.71666667,GO:0048635 negative regulation of muscle organ development , http://amigo.geneontology.org/amigo/term/GO:0048635, LEF1  SFMBT1,
0.049390047,2,12,30.71666667,GO:0071947 protein deubiquitination involved in ubiquitin-dependent protein catabolic process , http://amigo.geneontology.org/amigo/term/GO:0071947, OTUD7A  OTUD7B,
0.049390047,2,9,30.71666667,GO:0098870 action potential propagation , http://amigo.geneontology.org/amigo/term/GO:0098870, NRCAM  CNTNAP1,
0.062577978,2,7,25.59722222,GO:0032713 negative regulation of interleukin-4 production , http://amigo.geneontology.org/amigo/term/GO:0032713, FOXP3  LEF1,
0.062577978,2,8,25.59722222,GO:0051709 regulation of killing of cells of another organism , http://amigo.geneontology.org/amigo/term/GO:0051709, BCL2L1  PRF1,
0.062577978,2,17,25.59722222,GO:0070365 hepatocyte differentiation , http://amigo.geneontology.org/amigo/term/GO:0070365, PCK2,
0.062577978,2,10,25.59722222,GO:2000669 negative regulation of dendritic cell apoptotic process , http://amigo.geneontology.org/amigo/term/GO:2000669, CCR7  BCL2L1,
0.076291632,2,8,21.94047619,GO:0019626 short-chain fatty acid catabolic process , http://amigo.geneontology.org/amigo/term/GO:0019626, PCK2,
0.076291632,2,14,21.94047619,GO:0033079 immature T cell proliferation , http://amigo.geneontology.org/amigo/term/GO:0033079, FOXP3  ERBB2,
0.076291632,2,14,21.94047619,GO:0033080 immature T cell proliferation in thymus , http://amigo.geneontology.org/amigo/term/GO:0033080, FOXP3  ERBB2,
0.076291632,2,13,21.94047619,GO:0033083 regulation of immature T cell proliferation , http://amigo.geneontology.org/amigo/term/GO:0033083, FOXP3  ERBB2,
0.076291632,2,13,21.94047619,GO:0033084 regulation of immature T cell proliferation in thymus , http://amigo.geneontology.org/amigo/term/GO:0033084, FOXP3  ERBB2,
0.029334724,3,14,19.19791667,GO:0048302 regulation of isotype switching to IgG isotypes , http://amigo.geneontology.org/amigo/term/GO:0048302, FOXP3  TBX21  CD28,
0.092659557,2,11,19.19791667,GO:0035871 protein K11-linked deubiquitination , http://amigo.geneontology.org/amigo/term/GO:0035871, OTUD7A  OTUD7B,
0.092659557,2,10,19.19791667,GO:0048304 positive regulation of isotype switching to IgG isotypes , http://amigo.geneontology.org/amigo/term/GO:0048304, TBX21  CD28,
0.092659557,2,18,19.19791667,GO:0060033 anatomical structure regression , http://amigo.geneontology.org/amigo/term/GO:0060033, LEF1  CD248,
0.092659557,2,11,19.19791667,GO:2000320 negative regulation of T-helper 17 cell differentiation , http://amigo.geneontology.org/amigo/term/GO:2000320, TBX21  FOXP3,
0.009213715,5,39,18.28373016,GO:0050901 leukocyte tethering or rolling , http://amigo.geneontology.org/amigo/term/GO:0050901, PODXL2  CX3CR1  ITGB7  ITGB1  SPN,
0.012211442,4,21,18.06862745,GO:0043373 CD4-positive alpha-beta T cell lineage commitment , http://amigo.geneontology.org/amigo/term/GO:0043373, SPN  TBX21  IL12RB1  FOXP3,
0.031063861,3,15,17.72115385,GO:0048291 isotype switching to IgG isotypes , http://amigo.geneontology.org/amigo/term/GO:0048291, FOXP3  TBX21  CD28,
0.107379929,2,17,17.06481481,GO:0021535 cell migration in hindbrain , http://amigo.geneontology.org/amigo/term/GO:0021535, LEF1  ITGB1,
0.107379929,2,11,17.06481481,GO:0045060 negative thymic T cell selection , http://amigo.geneontology.org/amigo/term/GO:0045060, CCR7  CD28,
0.107379929,2,9,17.06481481,GO:0045586 regulation of gamma-delta T cell differentiation , http://amigo.geneontology.org/amigo/term/GO:0045586, LEF1  TCF7,
0.107379929,2,17,17.06481481,GO:0045956 positive regulation of calcium ion-dependent exocytosis , http://amigo.geneontology.org/amigo/term/GO:0045956, CACNA1I  SCAMP5,
0.107379929,2,12,17.06481481,GO:2000317 negative regulation of T-helper 17 type immune response , http://amigo.geneontology.org/amigo/term/GO:2000317, TBX21  FOXP3,
0.107379929,2,26,17.06481481,GO:2000738 positive regulation of stem cell differentiation , http://amigo.geneontology.org/amigo/term/GO:2000738, NAP1L2  LTBP3,
0.03379026,3,18,16.45535714,GO:0002295 T-helper cell lineage commitment , http://amigo.geneontology.org/amigo/term/GO:0002295, SPN  TBX21  IL12RB1,
0.012211442,4,23,16.16666667,GO:0002363 alpha-beta T cell lineage commitment , http://amigo.geneontology.org/amigo/term/GO:0002363, SPN  TBX21  IL12RB1  FOXP3,
0.012211442,4,24,16.16666667,GO:0043369 CD4-positive or CD8-positive alpha-beta T cell lineage commitment , http://amigo.geneontology.org/amigo/term/GO:0043369, SPN  TBX21  IL12RB1  FOXP3,
0.123927874,2,13,15.35833333,GO:0002638 negative regulation of immunoglobulin production , http://amigo.geneontology.org/amigo/term/GO:0002638, PARP3  FOXP3,
0.123927874,2,13,15.35833333,GO:0071670 smooth muscle cell chemotaxis , http://amigo.geneontology.org/amigo/term/GO:0071670, CORO1B  PDGFRB,
0.123927874,2,14,15.35833333,GO:0072540 T-helper 17 cell lineage commitment , http://amigo.geneontology.org/amigo/term/GO:0072540, TBX21  IL12RB1,
0.123927874,2,14,15.35833333,GO:0097048 dendritic cell apoptotic process , http://amigo.geneontology.org/amigo/term/GO:0097048, CCR7  BCL2L1,
0.123927874,2,14,15.35833333,GO:2000668 regulation of dendritic cell apoptotic process , http://amigo.geneontology.org/amigo/term/GO:2000668, CCR7  BCL2L1,
0.041045288,3,21,14.3984375,GO:2000319 regulation of T-helper 17 cell differentiation , http://amigo.geneontology.org/amigo/term/GO:2000319, TBX21  FOXP3  IL12RB1,
0.017464061,4,30,13.96212121,GO:0002360 T cell lineage commitment , http://amigo.geneontology.org/amigo/term/GO:0002360, SPN  TBX21  IL12RB1  FOXP3,
0.138255776,2,13,13.96212121,GO:0043383 negative T cell selection , http://amigo.geneontology.org/amigo/term/GO:0043383, CCR7  CD28,
0.138255776,2,15,13.96212121,GO:0046459 short-chain fatty acid metabolic process , http://amigo.geneontology.org/amigo/term/GO:0046459, PCK2,
0.138255776,2,19,13.96212121,GO:0060438 trachea development , http://amigo.geneontology.org/amigo/term/GO:0060438, LEF1  EDA,
0.138255776,2,18,13.96212121,GO:0060977 coronary vasculature morphogenesis , http://amigo.geneontology.org/amigo/term/GO:0060977, TGFBR3  PDGFRB,
0.138255776,2,13,13.96212121,GO:1903671 negative regulation of sprouting angiogenesis , http://amigo.geneontology.org/amigo/term/GO:1903671, E2F2,
0.045372061,3,21,13.55147059,GO:0045063 T-helper 1 cell differentiation , http://amigo.geneontology.org/amigo/term/GO:0045063, SPN  TBX21  LEF1,
0.022728091,4,30,12.79861111,GO:0072539 T-helper 17 cell differentiation , http://amigo.geneontology.org/amigo/term/GO:0072539, TBX21  FOXP3  IL12RB1  RORC,
0.149251283,2,16,12.79861111,GO:0002713 negative regulation of B cell mediated immunity , http://amigo.geneontology.org/amigo/term/GO:0002713, PARP3  FOXP3,
0.149251283,2,16,12.79861111,GO:0002890 negative regulation of immunoglobulin mediated immune response , http://amigo.geneontology.org/amigo/term/GO:0002890, PARP3  FOXP3,
0.149251283,2,13,12.79861111,GO:0042492 gamma-delta T cell differentiation , http://amigo.geneontology.org/amigo/term/GO:0042492, LEF1  TCF7,
0.149251283,2,12,12.79861111,GO:0046643 regulation of gamma-delta T cell activation , http://amigo.geneontology.org/amigo/term/GO:0046643, LEF1  TCF7,
0.149251283,2,12,12.79861111,GO:0090309 positive regulation of DNA methylation-dependent heterochromatin assembly , http://amigo.geneontology.org/amigo/term/GO:0090309, TASOR  ATF7IP2,
0.052765665,3,41,12.125,GO:0010712 regulation of collagen metabolic process , http://amigo.geneontology.org/amigo/term/GO:0010712, ITGB1  PDGFRB  VIM,
0.052765665,3,22,12.125,GO:0043371 negative regulation of CD4-positive alpha-beta T cell differentiation , http://amigo.geneontology.org/amigo/term/GO:0043371, TBX21  FOXP3  RUNX3,
0.160863035,2,15,11.81410256,GO:0001771 immunological synapse formation , http://amigo.geneontology.org/amigo/term/GO:0001771, PRF1  CCR7,
0.160863035,2,28,11.81410256,GO:0002052 positive regulation of neuroblast proliferation , http://amigo.geneontology.org/amigo/term/GO:0002052, ITGB1  CX3CR1,
0.160863035,2,21,11.81410256,GO:0006071 glycerol metabolic process , http://amigo.geneontology.org/amigo/term/GO:0006071, PCK2,
0.160863035,2,22,11.81410256,GO:0032634 interleukin-5 production , http://amigo.geneontology.org/amigo/term/GO:0032634, LEF1  FOXP3,
0.160863035,2,22,11.81410256,GO:0032674 regulation of interleukin-5 production , http://amigo.geneontology.org/amigo/term/GO:0032674, LEF1  FOXP3,
0.160863035,2,26,11.81410256,GO:0032967 positive regulation of collagen biosynthetic process , http://amigo.geneontology.org/amigo/term/GO:0032967, PDGFRB  VIM,
0.160863035,2,23,11.81410256,GO:0048634 regulation of muscle organ development , http://amigo.geneontology.org/amigo/term/GO:0048634, LEF1  SFMBT1,
0.160863035,2,29,11.81410256,GO:0060074 synapse maturation , http://amigo.geneontology.org/amigo/term/GO:0060074, CX3CR1  CLSTN1,
0.160863035,2,30,11.81410256,GO:0062009 secondary palate development , http://amigo.geneontology.org/amigo/term/GO:0062009, LEF1  TGFBR3,
0.012211442,5,37,11.63510101,GO:0045191 regulation of isotype switching , http://amigo.geneontology.org/amigo/term/GO:0045191, PARP3  FOXP3  TBX21  RIF1  CD28,
0.057900569,3,42,11.51875,GO:0017158 regulation of calcium ion-dependent exocytosis , http://amigo.geneontology.org/amigo/term/GO:0017158, CACNA1I  SYT11  SCAMP5,
0.057900569,3,26,11.51875,GO:0046639 negative regulation of alpha-beta T cell differentiation , http://amigo.geneontology.org/amigo/term/GO:0046639, TBX21  FOXP3  RUNX3,
0.012211442,5,54,11.29289216,GO:0061756 leukocyte adhesion to vascular endothelial cell , http://amigo.geneontology.org/amigo/term/GO:0061756, PODXL2  CX3CR1  ITGB7  ITGB1  SPN,
0.167678036,2,27,10.9702381,GO:0010714 positive regulation of collagen metabolic process , http://amigo.geneontology.org/amigo/term/GO:0010714, PDGFRB  VIM,
0.167678036,2,19,10.9702381,GO:0043031 negative regulation of macrophage activation , http://amigo.geneontology.org/amigo/term/GO:0043031, SYT11  VSIG4,
0.167678036,2,25,10.9702381,GO:0090308 regulation of DNA methylation-dependent heterochromatin assembly , http://amigo.geneontology.org/amigo/term/GO:0090308, TASOR  ATF7IP2,
0.167678036,2,16,10.9702381,GO:2001034 positive regulation of double-strand break repair via nonhomologous end joining , http://amigo.geneontology.org/amigo/term/GO:2001034, PARP3  RIF1,
0.009213715,6,52,10.47159091,GO:0045058 T cell selection , http://amigo.geneontology.org/amigo/term/GO:0045058, SPN  TBX21  CCR7  CD28  IL12RB1  FOXP3,
0.067710345,3,29,10.47159091,GO:0071549 cellular response to dexamethasone stimulus , http://amigo.geneontology.org/amigo/term/GO:0071549, PCK2  SERPINF1,
0.067710345,3,58,10.47159091,GO:2000179 positive regulation of neural precursor cell proliferation , http://amigo.geneontology.org/amigo/term/GO:2000179, ITGB1  CX3CR1  ADGRG1,
0.174462284,2,23,10.23888889,GO:0002070 epithelial cell maturation , http://amigo.geneontology.org/amigo/term/GO:0002070, GDF11  FEM1B,
0.174462284,2,17,10.23888889,GO:0002725 negative regulation of T cell cytokine production , http://amigo.geneontology.org/amigo/term/GO:0002725, FOXP3  TBX21,
0.174462284,2,21,10.23888889,GO:0002827 positive regulation of T-helper 1 type immune response , http://amigo.geneontology.org/amigo/term/GO:0002827, IL12RB1  TBX21,
0.174462284,2,23,10.23888889,GO:0019400 alditol metabolic process , http://amigo.geneontology.org/amigo/term/GO:0019400, PCK2,
0.174462284,2,15,10.23888889,GO:0031453 positive regulation of heterochromatin assembly , http://amigo.geneontology.org/amigo/term/GO:0031453, TASOR  ATF7IP2,
0.174462284,2,25,10.23888889,GO:0034695 response to prostaglandin E , http://amigo.geneontology.org/amigo/term/GO:0034695, CCR7  TGFBR3,
0.174462284,2,37,10.23888889,GO:0035821 modulation of process of another organism , http://amigo.geneontology.org/amigo/term/GO:0035821, BCL2L1  PRF1,
0.174462284,2,18,10.23888889,GO:0045623 negative regulation of T-helper cell differentiation , http://amigo.geneontology.org/amigo/term/GO:0045623, TBX21  FOXP3,
0.174462284,2,33,10.23888889,GO:0060317 cardiac epithelial to mesenchymal transition , http://amigo.geneontology.org/amigo/term/GO:0060317, TGFBR3  ADAM15,
0.174462284,2,15,10.23888889,GO:0120263 positive regulation of heterochromatin organization , http://amigo.geneontology.org/amigo/term/GO:0120263, TASOR  ATF7IP2,
0.174462284,2,19,10.23888889,GO:2000811 negative regulation of anoikis , http://amigo.geneontology.org/amigo/term/GO:2000811, ITGB1  BCL2L1,
0.079162001,3,27,9.598958333,GO:0045830 positive regulation of isotype switching , http://amigo.geneontology.org/amigo/term/GO:0045830, TBX21  RIF1  CD28,
0.079162001,3,33,9.598958333,GO:2000316 regulation of T-helper 17 type immune response , http://amigo.geneontology.org/amigo/term/GO:2000316, TBX21  FOXP3  IL12RB1,
0.188220399,2,19,9.598958333,GO:0002863 positive regulation of inflammatory response to antigenic stimulus , http://amigo.geneontology.org/amigo/term/GO:0002863, CCR7  CD28,
0.188220399,2,30,9.598958333,GO:0010447 response to acidic pH , http://amigo.geneontology.org/amigo/term/GO:0010447, RAB11FIP5  SERPINF1,
0.188220399,2,36,9.598958333,GO:0032965 regulation of collagen biosynthetic process , http://amigo.geneontology.org/amigo/term/GO:0032965, PDGFRB  VIM,
0.188220399,2,18,9.598958333,GO:0033151 V(D)J recombination , http://amigo.geneontology.org/amigo/term/GO:0033151, TCF7  LEF1,
0.188220399,2,19,9.598958333,GO:2000042 negative regulation of double-strand break repair via homologous recombination , http://amigo.geneontology.org/amigo/term/GO:2000042, RIF1  RADX,
0.036794267,4,39,9.308080808,GO:0043368 positive T cell selection , http://amigo.geneontology.org/amigo/term/GO:0043368, SPN  TBX21  IL12RB1  FOXP3,
0.036794267,4,49,9.308080808,GO:0045581 negative regulation of T cell differentiation , http://amigo.geneontology.org/amigo/term/GO:0045581, TBX21  ERBB2  FOXP3  RUNX3,
0.039892759,4,44,9.034313725,GO:0045910 negative regulation of DNA recombination , http://amigo.geneontology.org/amigo/term/GO:0045910, RIF1  RADX  PARP3  FOXP3,
0.199156074,2,20,9.034313725,GO:0048535 lymph node development , http://amigo.geneontology.org/amigo/term/GO:0048535, CD248  RORC,
0.199156074,2,17,9.034313725,GO:1905269 positive regulation of chromatin organization , http://amigo.geneontology.org/amigo/term/GO:1905269, TASOR  ATF7IP2,
0.009213715,7,70,8.670026882,GO:0002562 somatic diversification of immune receptors via germline recombination within a single locus , http://amigo.geneontology.org/amigo/term/GO:0002562, PARP3  FOXP3  TBX21  RIF1  TCF7  LEF1  CD28,
0.009213715,7,70,8.670026882,GO:0016444 somatic cell DNA recombination , http://amigo.geneontology.org/amigo/term/GO:0016444, PARP3  FOXP3  TBX21  RIF1  TCF7  LEF1  CD28,
0.012211442,6,74,8.532407407,GO:0042093 T-helper cell differentiation , http://amigo.geneontology.org/amigo/term/GO:0042093, SPN  TBX21  LEF1  FOXP3  IL12RB1  RORC,
0.043343505,4,49,8.532407407,GO:0042088 T-helper 1 type immune response , http://amigo.geneontology.org/amigo/term/GO:0042088, IL12RB1  SPN  TBX21  LEF1,
0.043343505,4,46,8.532407407,GO:0072538 T-helper 17 type immune response , http://amigo.geneontology.org/amigo/term/GO:0072538, TBX21  FOXP3  IL12RB1  RORC,
0.012211442,6,76,8.377272727,GO:0002294 CD4-positive alpha-beta T cell differentiation involved in immune response , http://amigo.geneontology.org/amigo/term/GO:0002294, SPN  TBX21  LEF1  FOXP3  IL12RB1  RORC,
0.025966193,5,52,8.34692029,GO:0002204 somatic recombination of immunoglobulin genes involved in immune response , http://amigo.geneontology.org/amigo/term/GO:0002204, PARP3  FOXP3  TBX21  RIF1  CD28,
0.025966193,5,52,8.34692029,GO:0002208 somatic diversification of immunoglobulins involved in immune response , http://amigo.geneontology.org/amigo/term/GO:0002208, PARP3  FOXP3  TBX21  RIF1  CD28,
0.025966193,5,52,8.34692029,GO:0045190 isotype switching , http://amigo.geneontology.org/amigo/term/GO:0045190, PARP3  FOXP3  TBX21  RIF1  CD28,
0.012211442,6,77,8.227678571,GO:0002287 alpha-beta T cell activation involved in immune response , http://amigo.geneontology.org/amigo/term/GO:0002287, SPN  TBX21  LEF1  FOXP3  IL12RB1  RORC,
0.012211442,6,77,8.227678571,GO:0002293 alpha-beta T cell differentiation involved in immune response , http://amigo.geneontology.org/amigo/term/GO:0002293, SPN  TBX21  LEF1  FOXP3  IL12RB1  RORC,
0.107379929,3,77,8.227678571,GO:0019226 transmission of nerve impulse , http://amigo.geneontology.org/amigo/term/GO:0019226, CACNA1I  NRCAM  CNTNAP1,
0.107379929,3,33,8.227678571,GO:0032703 negative regulation of interleukin-2 production , http://amigo.geneontology.org/amigo/term/GO:0032703, VSIG4  FOXP3  TBX21,
0.027385258,5,59,8.169326241,GO:0002639 positive regulation of immunoglobulin production , http://amigo.geneontology.org/amigo/term/GO:0002639, TBX21  RIF1  DNAJB9  CD28  TNFRSF4,
0.04893689,4,59,8.083333333,GO:0045620 negative regulation of lymphocyte differentiation , http://amigo.geneontology.org/amigo/term/GO:0045620, TBX21  ERBB2  FOXP3  RUNX3,
0.009213715,7,82,8.02300995,GO:0002637 regulation of immunoglobulin production , http://amigo.geneontology.org/amigo/term/GO:0002637, PARP3  FOXP3  TBX21  RIF1  DNAJB9  CD28  TNFRSF4,
0.114200816,3,72,7.943965517,GO:0071300 cellular response to retinoic acid , http://amigo.geneontology.org/amigo/term/GO:0071300, ATP1A3  SERPINF1  LTK,
0.114200816,3,45,7.943965517,GO:0071548 response to dexamethasone , http://amigo.geneontology.org/amigo/term/GO:0071548, PCK2  SERPINF1,
0.009213715,7,77,7.90502451,GO:0002200 somatic diversification of immune receptors , http://amigo.geneontology.org/amigo/term/GO:0002200, PARP3  FOXP3  TBX21  RIF1  TCF7  LEF1  CD28,
0.029170468,5,57,7.835884354,GO:0002381 immunoglobulin production involved in immunoglobulin-mediated immune response , http://amigo.geneontology.org/amigo/term/GO:0002381, PARP3  FOXP3  TBX21  RIF1  CD28,
0.01006403,7,94,7.679166667,GO:0043367 CD4-positive alpha-beta T cell differentiation , http://amigo.geneontology.org/amigo/term/GO:0043367, SPN  FOXP3  TBX21  LEF1  RUNX3  IL12RB1  RORC,
0.123197128,3,66,7.679166667,GO:0017156 calcium-ion regulated exocytosis , http://amigo.geneontology.org/amigo/term/GO:0017156, CACNA1I  SYT11  SCAMP5,
0.123197128,3,48,7.679166667,GO:2000515 negative regulation of CD4-positive alpha-beta T cell activation , http://amigo.geneontology.org/amigo/term/GO:2000515, FOXP3  TBX21  RUNX3,
0.017102684,6,85,7.431451613,GO:0002292 T cell differentiation involved in immune response , http://amigo.geneontology.org/amigo/term/GO:0002292, SPN  TBX21  LEF1  FOXP3  IL12RB1  RORC,
0.032058094,5,89,7.244496855,GO:0045123 cellular extravasation , http://amigo.geneontology.org/amigo/term/GO:0045123, PODXL2  CX3CR1  ITGB7  ITGB1  SPN,
0.136211984,3,49,7.19921875,GO:0045622 regulation of T-helper cell differentiation , http://amigo.geneontology.org/amigo/term/GO:0045622, TBX21  FOXP3  IL12RB1,
0.061982257,4,61,7.143410853,GO:0043370 regulation of CD4-positive alpha-beta T cell differentiation , http://amigo.geneontology.org/amigo/term/GO:0043370, FOXP3  TBX21  RUNX3  IL12RB1,
0.033224502,5,60,7.110339506,GO:0016447 somatic recombination of immunoglobulin gene segments , http://amigo.geneontology.org/amigo/term/GO:0016447, PARP3  FOXP3  TBX21  RIF1  CD28,
0.03379026,5,68,6.981060606,GO:0002712 regulation of B cell mediated immunity , http://amigo.geneontology.org/amigo/term/GO:0002712, PARP3  FOXP3  TBX21  RIF1  CD28,
0.03379026,5,68,6.981060606,GO:0002889 regulation of immunoglobulin mediated immune response , http://amigo.geneontology.org/amigo/term/GO:0002889, PARP3  FOXP3  TBX21  RIF1  CD28,
0.140609252,3,48,6.981060606,GO:0007528 neuromuscular junction development , http://amigo.geneontology.org/amigo/term/GO:0007528, CNTNAP1  ERBB2  KALRN,
0.067319893,4,108,6.825925926,GO:0006968 cellular defense response , http://amigo.geneontology.org/amigo/term/GO:0006968, ITGB1  CX3CR1  PRF1  SPN,
0.149251283,3,39,6.775735294,GO:0032633 interleukin-4 production , http://amigo.geneontology.org/amigo/term/GO:0032633, FOXP3  LEF1  CD28,
0.149251283,3,39,6.775735294,GO:0032673 regulation of interleukin-4 production , http://amigo.geneontology.org/amigo/term/GO:0032673, FOXP3  LEF1  CD28,
0.009213715,8,141,6.605734767,GO:0035710 CD4-positive alpha-beta T cell activation , http://amigo.geneontology.org/amigo/term/GO:0035710, SPN  FOXP3  TBX21  LEF1  CD28  RUNX3  IL12RB1  RORC,
0.149749517,3,68,6.582142857,GO:0007405 neuroblast proliferation , http://amigo.geneontology.org/amigo/term/GO:0007405, LEF1  ITGB1  CX3CR1,
0.149749517,3,51,6.582142857,GO:2000516 positive regulation of CD4-positive alpha-beta T cell activation , http://amigo.geneontology.org/amigo/term/GO:2000516, FOXP3  CD28  IL12RB1,
0.039892759,5,66,6.507768362,GO:0016445 somatic diversification of immunoglobulins , http://amigo.geneontology.org/amigo/term/GO:0016445, PARP3  FOXP3  TBX21  RIF1  CD28,
0.045085075,5,104,6.192876344,GO:2000514 regulation of CD4-positive alpha-beta T cell activation , http://amigo.geneontology.org/amigo/term/GO:2000514, FOXP3  TBX21  CD28  RUNX3  IL12RB1,
0.161118329,3,59,6.0625,GO:0002701 negative regulation of production of molecular mediator of immune response , http://amigo.geneontology.org/amigo/term/GO:0002701, FOXP3  PARP3  TBX21,
0.161118329,3,60,6.0625,GO:0046636 negative regulation of alpha-beta T cell activation , http://amigo.geneontology.org/amigo/term/GO:0046636, FOXP3  TBX21  RUNX3,
0.168239597,3,47,5.907051282,GO:0002714 positive regulation of B cell mediated immunity , http://amigo.geneontology.org/amigo/term/GO:0002714, TBX21  RIF1  CD28,
0.168239597,3,47,5.907051282,GO:0002891 positive regulation of immunoglobulin mediated immune response , http://amigo.geneontology.org/amigo/term/GO:0002891, TBX21  RIF1  CD28,
0.168239597,3,57,5.907051282,GO:0071385 cellular response to glucocorticoid stimulus , http://amigo.geneontology.org/amigo/term/GO:0071385, PCK2  SERPINF1,
0.02078265,7,112,5.780017921,GO:0002377 immunoglobulin production , http://amigo.geneontology.org/amigo/term/GO:0002377, PARP3  FOXP3  TBX21  RIF1  DNAJB9  CD28  TNFRSF4,
0.174462284,3,82,5.759375,GO:0055006 cardiac cell development , http://amigo.geneontology.org/amigo/term/GO:0055006, PI16  TGFBR3  PDGFRB,
0.106013191,4,61,5.688271605,GO:0007080 mitotic metaphase plate congression , http://amigo.geneontology.org/amigo/term/GO:0007080, SEH1L  KIFC1,
0.054523739,5,90,5.646446078,GO:0090307 mitotic spindle assembly , http://amigo.geneontology.org/amigo/term/GO:0090307, TPX2  KIFC1  TASOR,
0.023199873,7,124,5.599392361,GO:0046632 alpha-beta T cell differentiation , http://amigo.geneontology.org/amigo/term/GO:0046632, SPN  FOXP3  TBX21  LEF1  RUNX3  IL12RB1  RORC,
